objname,reference,logL1350,logL1350_hi,logL1350_lo,tau,tau_hi,tau_lo,z
32,Grier at al. 2019,44.492,0.021,0.021,21.1,22.7,12.8,1.715
52,Grier at al. 2019,45.499,0.002,0.002,32.6,6.9,6.6,2.305
181,Grier at al. 2019,44.545,0.015,0.015,102.1,26.8,30.5,1.675
249,Grier at al. 2019,44.984,0.01,0.01,22.8,31.3,13.5,1.717
256,Grier at al. 2019,45.089,0.003,0.003,43.1,49,26.1,2.244
275,Grier at al. 2019,45.611,0.001,0.001,76.7,10,9.5,1.577
298,Grier at al. 2019,45.596,0.001,0.001,82.3,64.5,30.7,1.635
312,Grier at al. 2019,45.077,0.004,0.004,70.9,9.6,7.6,1.924
332,Grier at al. 2019,45.551,0.002,0.002,83.8,23.3,19.4,2.581
387,Grier at al. 2019,45.687,0.001,0.001,48.4,34.7,34.5,2.426
401,Grier at al. 2019,45.49,0.003,0.003,60.6,36.7,14.7,1.822
418,Grier at al. 2019,45.04,0.003,0.003,58.6,51.6,13.6,1.418
470,Grier at al. 2019,44.821,0.006,0.006,27.4,63.5,17.6,1.879
527,Grier at al. 2019,44.788,0.003,0.003,47.3,13.3,27,1.647
549,Grier at al. 2019,45.369,0.002,0.002,68.9,31.6,8.8,2.285
734,Grier at al. 2019,45.53,0.001,0.001,68,38.2,23.1,2.332
DES J0228-04,Hoormann et al. 2019,46.43,0.04,0.04,123,43,42,1.905
DES J0033-42,Hoormann et al. 2019,46.51,0.02,0.02,95,16,23,2.593
NGC 4395 Visit 2,"Peterson et al. 2005, 2006",39.57,0.06,0.06,0.033,0.017,0.013,0.00106
NGC 4395 Visit 3,"Peterson et al. 2005, 2006",40.1,0.03,0.03,0.046,0.017,0.013,0.00106
NGC 3783,"Peterson et al. 2005, 2006",43.59,0.09,0.09,4,1,1.5,0.009755
NGC 5548 Year 1,"Peterson et al. 2005, 2006",43.66,0.14,0.14,9.8,1.9,1.5,0.01627
NGC 5548 Year 5,"Peterson et al. 2005, 2006",43.58,0.06,0.06,6.7,0.9,1,0.01627
NGC 7469,"Peterson et al. 2005, 2006",43.78,0.07,0.07,2.5,0.3,0.2,0.01588
3C 390.3,"Peterson et al. 2005, 2006",44.07,0.21,0.21,35.7,11.4,14.6,0.06
S5 0836+71,Kaspi et al. 2007,47.05,0.06,0.07,188,27,37,2.17
PG 1247+267,Trevese et al. 2014,47.59,0.002,0.002,142,26,25,2.047
CT286,Lira et al. 2018,47.05,0.07,0.08,458,71,92,2.556
CT406,Lira et al. 2018,46.91,0.04,0.04,98,55,74,3.183
J214355,Lira et al. 2018,46.96,0.05,0.05,136,97,88,2.62
J221516,Lira et al. 2018,47.16,0.05,0.06,153,91,12,2.706
CT1061,Lira et al. 2018,47.53,0.04,0.04,91,111,24,3.393
CT564,Lira et al. 2018,47,0.06,0.07,114,184,29,2.659
NGC 5548,de Rosa et al. 2015,42.99,0.34,0.7,5.33,0.44,0.48,0.01627
NGC 4151,Metzroth et al. 2006,41.68,0.36,0.53,3.44,1.42,1.42,0.003262
SDSS J2222+2745,Williams et al. 2020,44.05215018,0.169724393,0.169724393,36.5,2.9,3.9,2.805
